InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536395,22748,"POPPY'S PLAYHOUSE BEDROOM",6,12/1/2010 12:01,2.55,17377,United Kingdom
536396,84406B,"CREAM CUPID HEARTS COAT HANGER",8,12/1/2010 12:01,2.75,17377,United Kingdom
536397,20725,"LUNCH BAG RED RETROSPOT",10,12/1/2010 12:14,1.65,13256,United Kingdom
536398,22383,"LUNCH BAG SUKI DESIGN",4,12/1/2010 12:14,1.65,13256,United Kingdom
536399,47566,"PARTY BUNTING",11,12/1/2010 12:14,4.95,13256,United Kingdom
536400,20723,"STRAWBERRY CHARLOTTE BAG",10,12/1/2010 12:49,1.65,17850,United Kingdom
536401,47566,"PARTY BUNTING",10,12/1/2010 12:49,4.95,17850,United Kingdom
536402,20724,"RED RETROSPOT CHARLOTTE BAG",4,12/1/2010 12:49,1.65,17850,United Kingdom
536403,85123A,"WHITE HANGING HEART T-LIGHT HOLDER",6,12/1/2010 13:04,2.55,12431,Australia
536404,22457,"NATURAL SLATE HEART CHALKBOARD",12,12/1/2010 13:04,4.95,12431,Australia
536405,85099B,"JUMBO BAG RED RETROSPOT",2,12/1/2010 13:04,1.95,12431,Australia
536406,22556,"PLASTERS IN TIN CIRCUS PARADE",12,12/1/2010 13:15,1.65,16607,United Kingdom
536407,21984,"PACK OF 12 PINK PAISLEY TISSUES",12,12/1/2010 13:15,0.29,16607,United Kingdom
536408,21983,"PACK OF 12 BLUE PAISLEY TISSUES",12,12/1/2010 13:15,0.29,16607,United Kingdom
536409,21980,"PACK OF 12 RED RETROSPOT TISSUES",12,12/1/2010 13:15,0.29,16607,United Kingdom
536410,21977,"PACK OF 12 SKULL DESIGN TISSUES",10,12/1/2010 13:15,0.29,16607,United Kingdom
536411,21481,"FRYING PAN UNION JACK",3,12/1/2010 13:20,4.95,14507,United Kingdom
536412,84692,"BOX OF 6 ASSORTED COLOUR TEASPOONS",4,12/1/2010 13:20,4.25,14507,United Kingdom
536413,47566,"PARTY BUNTING",6,12/1/2010 13:20,4.95,14507,United Kingdom
536414,20725,"LUNCH BAG RED RETROSPOT",4,12/1/2010 13:49,1.65,12625,United Kingdom
536415,20727,"LUNCH BAG APPLE DESIGN",2,12/1/2010 13:49,1.65,12625,United Kingdom
536416,22556,"PLASTERS IN TIN CIRCUS PARADE",12,12/1/2010 13:49,1.65,12625,United Kingdom
536417,21181,"VINTAGE BILLBOARD DRINK ME MUG",12,12/1/2010 14:57,0.85,17021,United Kingdom
536418,20685,"DOORMAT NEW ENGLAND",10,12/1/2010 14:57,7.08,17021,United Kingdom
536419,22629,"SPACEBOY LUNCH BOX",4,12/1/2010 15:17,1.95,15311,United Kingdom
536420,22631,"CIRCUS PARADE LUNCH BOX",2,12/1/2010 15:17,1.95,15311,United Kingdom
536421,22659,"LUNCH BAG SPACEBOY DESIGN",2,12/1/2010 15:17,1.65,15311,United Kingdom
536422,82482,"WOODEN PICTURE FRAME WHITE FINISH",1,12/1/2010 15:17,7.02,15311,United Kingdom
536423,21181,"VINTAGE BILLBOARD DRINK ME MUG",12,12/1/2010 15:17,0.85,15311,United Kingdom
536424,22697,"RUSSIAN DOLL BABUSHKA STICKERS",12,12/1/2010 15:17,0.85,15311,United Kingdom
536425,82483,"WOODEN PICTURE FRAME BLACK FINISH",1,12/1/2010 15:17,7.02,15311,United Kingdom
536426,22041,"RECORD FRAME 7 SINGLE SIZE",2,12/1/2010 15:17,2.10,15311,United Kingdom
536427,21232,"STRAWBERRY CERAMIC TRINKET BOX",1,12/1/2010 15:17,1.25,15311,United Kingdom
536428,22769,"EASTER CHICK IN RIBBON GIFT BAG",1,12/1/2010 15:17,0.85,15311,United Kingdom
536429,22659,"LUNCH BAG SPACEBOY DESIGN",4,12/1/2010 15:30,1.65,13113,United Kingdom
536430,22631,"CIRCUS PARADE LUNCH BOX",2,12/1/2010 15:30,1.95,13113,United Kingdom
536431,84077,"WORLD WAR 2 GLIDERS ASSORTED DESIGNS",12,12/1/2010 15:30,0.21,13113,United Kingdom
536432,22041,"RECORD FRAME 7 SINGLE SIZE",12,12/1/2010 15:30,2.10,13113,United Kingdom
536433,22697,"RUSSIAN DOLL BABUSHKA STICKERS",12,12/1/2010 15:30,0.85,13113,United Kingdom
536434,84406B,"CREAM CUPID HEARTS COAT HANGER",8,12/1/2010 15:30,2.75,13113,United Kingdom
536435,21181,"VINTAGE BILLBOARD DRINK ME MUG",48,12/1/2010 15:30,0.85,13113,United Kingdom
536436,22383,"LUNCH BAG SUKI DESIGN",1,12/1/2010 15:44,1.65,17548,United Kingdom
536437,85099B,"JUMBO BAG RED RETROSPOT",10,12/1/2010 15:44,1.95,17548,United Kingdom
536438,85123A,"WHITE HANGING HEART T-LIGHT HOLDER",6,12/1/2010 15:44,2.55,17548,United Kingdom
536439,71053,"WHITE METAL LANTERN",6,12/1/2010 15:44,3.39,17548,United Kingdom
536440,84406B,"CREAM CUPID HEARTS COAT HANGER",8,12/1/2010 15:44,2.75,17548,United Kingdom
